ماشين های الکتريکی (3),8101458,1,3,مهندس نبوی,23985,16049,,"9-10,5",,"9-10,5",,,96/11/02 صبح,ماشين های الکتریکی (2),40
روشنایی فنی,8101201,1,2,دکتر شایگانی ,26910,16083,,10.5-12,,10.5-12,,,96/10/27 صبح,,30
آزمايشگاه پايگاه داده ها,8101470,1,1,مهندس عمادی,392377,18262,17.5-20,,,,,,,پايگاه داده ها,50
آزمايشگاه سيستم عامل,8101473,1,1, مهندس نورعلیرزاده, ,16132,,,13.5-16,,,,,٭سیستم عامل,30
آزمايشگاه سيستم عامل,8101473,2,1, مهندس نورعلیرزاده, ,16132,,,"16-18,5",,,,,٭سیستم عامل,30
آزمايشگاه شبكه كامپيوتري,8101721,1,1,دكتر خونساري,26868,16080,,13-15.5,,,,,,شبكه هاي كامپيوتري,8
آزمايشگاه شبكه كامپيوتري,8101721,2,1,دكتر خونساري,26868,16080,,16-18.5,,,,,,شبكه هاي كامپيوتري,8
انتقال داده ,8101100,1,3,دكتر خونساري,26868,16080,,10.5-12,,10.5-12,,,96/10/26 عصر,تجزیه و تحلیل سیستم ها,30
شيوه ارائه مطالب علمی و فنی,8101246,1,2,دكتر تقی یاره,25821,16071,,,,14-16,,,96/11/04 صبح,حداقل واحد گذرانده 100 واحد,40
شيوه ارائه مطالب علمی و فنی,8101246,2,2,دکتر محمدی,26847,16079,,,,,16-14,,96/11/04 صبح,حداقل واحد گذرانده 100 واحد,40
هوش مصنوعي,8101397,1,3,دكتر مرادی,27954,16095,9-10.5,,9-10.5,,,,96/11/02 صبح,برنامه سازي پيشرفته,60
شبكه هاي كامپيوتري,8101412,1,3,دكتر خونساری,26868,16080,,7.5-9,,7.5-9,,,96/10/24 صبح,مخابرات (1) يا سيستم عامل,60
طراحي الگوريتم,8101424,1,3,دکتر مهینی, ,18267,,10.5-12,,10.5-12,,,96/11/03 صبح,ساختمان داده ها,40
نظريه زبان ها و ماشين ها,8101444,1,3,مهندس فدایی,394917,18283,,16-17.5,,16-17.5,,,96/10/24 صبح,ساختمان داده ها,50
پايگاه داده ها ,8101459,1,3,دكتر شاکری,28067,16096,,9-10.5,,9-10.5,,,96/10/26 صبح,سيستم عامل ,40
طراحي زبانهاي برنامه سازي,8101460,1,3,مهندس علی دوست نیا,,16125,7.5-9,,7.5-9,,,,96/11/04 عصر,طراحی و ساخت کامپايلر,50
مهندسي نرم افزار ,8101461,1,3,دكتر خسروی,27860,16090,,14-15.5,,14-15.5,,,96/10/28 صبح,تحليل و طراحي سيستمها,60
طراحی واسط کاربر,8101503,1,3,دکتر رهگذر,25622,16066,7.5-9,,7.5-9,,,,96/10/25 عصر,٭ مهندسي نرم افزار,30
مبانی امنیت شبکه های کامپيوتری,8101991,1,3,دکتر بهرک,394392,18306,14-15.5,,14-15.5,,,,96/10/30 عصر,شبکه های کامپيوتری,40
آزمون نرم افزار,8101743,1,3,دکتر خامس پناه,390834,18255,16-17.5,,16-17.5,,,,96/11/03 صبح,تحليل و طراحي سيستمها,30
روش های رسمی در مهندسی نرم افزار,8101744,1,3,دکتر فقیه,396120,16367,9-10.5,,9-10.5,,,,96/10/23 صبح,تحليل و طراحي سيستمها,30
آزمايشگاه مدارهاي منطقي,8101045,1,1,دكتر نوابي,23677,16046,13-16,,,,,,,مدارهاي منطقي,16
آزمايشگاه مدارهاي منطقي,8101045,2,1,دكتر نوابي,23677,16046,16-19,,,,,,,مدارهاي منطقي,16
آزمايشگاه مدارهاي منطقي,8101045,3,1,دكتر نوابي,23677,16046,,13-16,,,,,,مدارهاي منطقي,16
آزمايشگاه مدارهاي منطقي,8101045,4,1,دكتر نوابي,23677,16046,,16-19,,,,,,مدارهاي منطقي,16
آزمايشگاه مدارهاي منطقي,8101045,5,1,دكتر نوابي,23677,16046,,,13-16,,,,,مدارهاي منطقي,16
آزمايشگاه  مدارهاي منطقي,8101045,6,1,دكتر نوابي,23677,16046,,,16-19,,,,,مدارهاي منطقي,16
آزمايشگاه مدارهاي منطقي,8101045,7,1,دكتر نوابي,23677,16046,,,,16-19,,,,مدارهاي منطقي,16
آزمايشگاه ميكروپروسسور يا ريزپردازنده,8101046,1,1,دكتر فاطمي,25818,16070,,,,9-12,,,,ميكروپروسسور يا ريزپردازنده,10
آزمايشگاه ميكروپروسسور يا ريزپردازنده,8101046,2,1,دكتر فاطمي,25818,16070,,,,14-17,,,,ميكروپروسسور يا ريزپردازنده,10
آزمايشگاه ميكروپروسسور يا ريزپردازنده,8101046,3,1,دكتر فاطمي,25818,16070,,,,,9-12,,,ميكروپروسسور يا ريزپردازنده,10
آزمايشگاه ميكروپروسسور يا ريزپردازنده,8101046,4,2,دكتر فاطمي,25818,16070,,,,,14-17,,,ميكروپروسسور يا ريزپردازنده,10
آزمايشگاه معماري كامپيوتر,8101469,1,1,دكتر صفري,26932,16084,,,,13-16,,,,آزمايشگاه مدارهاي منطقي + معماري كامپيوتر,14
آزمايشگاه معماري كامپيوتر,8101469,2,1,دكتر صفري,26932,16084,,,,,13-16,,,آزمايشگاه مدارهاي منطقي + معماري كامپيوتر,14
آزمايشگاه معماري كامپيوتر  غیرفعال,8101469,3,1,دكتر صفري,26932,16084,,,,7.5-9.5,,,,آزمايشگاه مدارهاي منطقي + معماري كامپيوتر,14
آزمایشگاه مدارهای الکترونیکی (سخت افزار),8101954,1,1,دکتر سنائی,28902,16108,,13-16,,,,,,,
كارگاه كامپيوتر,8101305,1,1,مهندس حسینی,,16135,,,,13-16,,,,,24
كارگاه كامپيوتر,8101305,2,1,مهندس حسینی,,16135,,,,16-19,,,,,24
